Key:
+,"Pro-environment vote"
-,"Anti-environment vote"
?,"Missed vote"
n/a,"Not applicable"
" "
District,Party,"Member of Congress","2019 Score","Lifetime Score","Stopping Border Wall Funding (9)","Public Lands Package (95)","Protecting Our Democracy (118)","For the People Act (118)","Recognizing the Need for Climate Justice (175)","Addressing Climate Change’s Damages (181)","Climate Action Now Act (184)","Keeping America’s Commitment to the Paris Climate Agreement (184)","Protecting Dreamers and Immigrants Fleeing Disasters (240)","Halting Withdrawal from the Paris Climate Agreement (336)","Ignoring the Costs of Climate Change (362)","Blocking the Use of the Social Cost of Carbon in Agency Rules (362)","Halting Permitting of Pebble Mine in Alaska (363)","Blocking the Disastrous Pebble Mine (363)","Boosting Clean Energy and Climate Funding (367)","FY20 Energy, Water, and other Departments Funding Bill (367)","Blocking Protections for Endangered Whales (372)","Halting Oil and Gas Drilling off Florida’s Coasts (378)","Banning Oil and Gas Drilling off the Atlantic Coast (379)","Blocking Import Permits for Sport-Hunted Elephant and Lion Parts (380)","Stopping Carbon Pollution Limits for Power Plants (381)","Stopping the Clean Power Plan and Carbon Pollution Limits for New Power Plants (381)","Blocking Taxpayer-Subsidized Roadbuilding for Industrial Logging in the Tongass National Forest (382)","Blocking Logging in the Tongass National Forest (382)","Blocking EPA from Carrying Out Endangerment Finding for CO2 (383)","Blocking the EPA from Reducing Carbon Pollution (383)","Halting Oil Drilling in the Arctic Refuge (384)","Blocking EPA Enforcement of Methane Rules (385)","Methane Pollution Safeguards (385)","Eliminating EPA’s Chemical Hazard Assessment Program, IRIS (390)","Eliminating EPA's Chemical Hazard Assessment Program, IRIS (390)","Stopping Oil and Gas Exploration off the Atlantic Coast (391)","Banning Oil and Gas Exploration off the Pacific Coast (393)","Preserving the Mercury & Air Toxics Standards (395)","Halting the Trump Administration from Undermining the Mercury and Air Toxics Standards (395)","Pro-Environment Funding Bill (408)","FY20 Interior, Environment and related Agencies Funding Bill (408)","Ending Harmful Limits on Government Funding (511)","Permanently Extending the Moratorium on Drilling in the Eastern Gulf of Mexico (521)","Stopping Future Drilling in the Eastern Gulf of Mexico (521)","Banning Offshore Drilling in the Atlantic and Pacific Oceans (525)","Restoring Protections for the Arctic Refuge (530)","Protecting Chaco Canyon from Oil and Gas Development   (597)","Protecting Chaco Canyon from Oil and Gas Development (597)","Protecting the Grand Canyon from Toxic Uranium Mining (602)","Protecting Colorado's Public Lands (609)","Shark Finning Ban (634)","Protecting the Right to Vote (654)","Attack on Marine Mammal Protections from Harmful Air Gun Blasting (666)","USMCA Trade Deal (701)"
AL-02,R,"Roby, Martha",3,4,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,-,-,-,-
AL-03,R,"Rogers, Mike",3,5,,+,?,?,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,?,-,-,-,-
AL-04,R,"Aderholt, Robert",3,3,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,-,-,?,-
AL-05,R,"Brooks, Mo",3,8,,-,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
AL-06,R,"Palmer, Gary",0,1,,-,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
AL-07,D,"Sewell, Terri",97,80,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
HI-01,D,"Case, Ed",97,94,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
HI-02,D,"Gabbard, Tulsi",72,93,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,?,,+,,+,,,,?,?,+,?,?,?,-
MO-01,D,"Clay, William Lacy",97,90,,+,?,?,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
MO-02,R,"Wagner, Ann",7,3,,?,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,+,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,?,+,-,-,-
MO-03,R,"Luetkemeyer, Blaine",7,3,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,-,-,-,-
MO-04,R,"Hartzler, Vicky",7,3,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,-,-,-,-
MO-05,D,"Cleaver, Emanuel",97,89,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
MO-06,R,"Graves, Sam",3,4,,-,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
MO-07,R,"Long, Billy",7,3,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
MO-08,R,"Smith, Jason",0,1,,-,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
TN-01,R,"Roe, Phil",10,3,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,+,-,-,-
TN-02,R,"Burchett, Tim",10,10,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,+,-,-,-
TN-03,R,"Fleischmann, Chuck",7,4,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,-,-,-,-
TN-04,R,"DesJarlais, Scott",3,2,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,?,-,-,-,-
TN-05,D,"Cooper, Jim",93,83,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,-,-,+,+,,,+,,+,+,,+,,+,-,-,+,,+,,-,,+,,,,+,+,+,?,+,+,-
TN-06,R,"Rose, John",3,3,,-,-,-,?,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,?,?,?,+,-,-,-
TN-07,R,"Green, Mark",0,0,,-,-,-,-,-,,-,?,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
TN-08,R,"Kustoff, David",10,3,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,+,-,-,-
TN-09,D,"Cohen, Steve",96,97,,?,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
LA-01,R,"Scalise, Steve",0,3,,-,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,-,-,-,-
LA-02,D,"Richmond, Cedric",93,76,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,-,+,+,,+,,+,,+,,,,+,+,+,?,+,+,-
LA-03,R,"Higgins, Clay",3,1,,-,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
LA-04,R,"Johnson, Mike",3,3,,-,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
LA-05,R,"Abraham, Ralph",0,1,,-,-,-,?,?,,?,-,?,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,?,,-,,?,,,,-,-,-,-,-,-,-
LA-06,R,"Graves, Garret",17,5,,-,-,-,-,+,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,+,-,,-,,+,-,-,+,,-,,-,,-,,,,-,-,-,-,-,-,-
PA-01,R,"Fitzpatrick, Brian",86,80,,+,-,-,+,+,,+,+,+,+,,,+,-,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,-,,+,,+,,,,+,+,+,+,+,+,-
PA-02,D,"Boyle, Brendan",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
PA-03,D,"Evans, Dwight",97,95,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
PA-04,D,"Dean, Madeleine",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
PA-05,D,"Scanlon, Mary",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
PA-06,D,"Houlahan, Chrissy",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
PA-07,D,"Wild, Susan",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
PA-08,D,"Cartwright, Matt",96,96,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,,+,-
PA-09,R,"Meuser, Daniel",7,7,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,+,-,?,-
PA-10,R,"Perry, Scott",3,3,,-,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,+,-,?,-
PA-11,R,"Smucker, Lloyd",7,4,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,+,-,?,-
PA-12,R,"Marino, Tom",0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-12,R,"Keller, Fred",4,4,,,,,,,,,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,+,-,?,-
PA-13,R,"Joyce, John",3,3,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,?,-
PA-14,R,"Reschenthaler, Guy",7,7,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,+,-,-,-
PA-15,R,"Thompson, Glenn",7,5,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,+,-,?,-
PA-16,R,"Kelly, Mike",7,4,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,+,-,?,-
PA-17,D,"Lamb, Conor",90,85,,+,+,+,+,+,,+,+,+,+,,,-,+,,-,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
PA-18,D,"Doyle, Mike",97,79,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
MI-01,R,"Bergman, Jack",17,10,,+,-,-,?,-,,-,-,-,+,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,+,-,-,-,,-,,+,,-,,,,-,-,-,+,-,-,-
MI-02,R,"Huizenga, Bill",0,3,,-,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
MI-03,R,"Amash, Justin",17,18,,-,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,+,,-,-,,-,,+,-,-,-,,-,,-,,-,,,,-,-,-,-,-,+,+
MI-04,R,"Moolenaar, John",14,6,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,+,-,-,-,,-,,-,,-,,,,-,-,-,+,-,-,-
MI-05,D,"Kildee, Daniel",97,96,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
MI-06,R,"Upton, Fred",45,27,,+,-,-,-,+,,-,+,+,-,,,-,-,,+,-,-,+,-,,,+,,+,-,,+,,+,+,-,-,,-,,+,,-,,,,+,+,+,+,-,+,-
MI-07,R,"Walberg, Tim",10,4,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,+,-,-,-,,-,,-,,-,,,,-,-,?,-,-,-,-
MI-08,D,"Slotkin, Elissa",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
MI-09,D,"Levin, Andy",100,100,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
MI-10,R,"Mitchell, Paul",7,4,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,?,+,-,-,-
MI-11,D,"Stevens, Haley",93,93,,+,+,+,+,+,,+,+,+,+,,,+,+,,-,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
MI-12,D,"Dingell, Debbie",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
MI-13,D,"Tlaib, Rashida",97,97,,+,+,+,+,+,,+,+,+,+,,,+,-,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
MI-14,D,"Lawrence, Brenda",90,96,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,?,,,,+,+,+,+,+,+,-
NV-01,D,"Titus, Dina",96,95,,+,+,+,,,,,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
NV-02,R,"Amodei, Mark",10,5,,+,-,-,-,-,,-,-,-,+,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,+,-,-,-
NV-03,D,"Lee, Susie",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
NV-04,D,"Horsford, Steven",97,80,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
NJ-01,D,"Norcross, Donald",97,93,,+,+,+,+,+,,+,+,+,+,,,+,+,,-,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
NJ-02,R,"Van Drew, Jefferson",93,93,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,-,+,+,-
NJ-03,D,"Kim, Andy",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
NJ-04,R,"Smith, Christopher",72,61,,+,-,-,-,+,,-,+,-,+,,,-,-,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,-,,+,,+,,,,+,+,+,+,-,+,-
NJ-05,D,"Gottheimer, Josh",97,86,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
NJ-06,D,"Pallone, Frank",100,96,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
NJ-07,D,"Malinowski, Tom",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
NJ-08,D,"Sires, Albio",93,91,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,?,+,+,+,-
NJ-09,D,"Pascrell, Bill",100,94,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
NJ-10,D,"Payne, Donald",90,91,,+,+,+,?,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,?,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
NJ-11,D,"Sherrill, Mikie",93,93,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,?,+,+,+,-
NJ-12,D,"Watson Coleman, Bonnie",100,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
OH-01,R,"Chabot, Steve",10,11,,-,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,+,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,+,-,-,-
OH-02,R,"Wenstrup, Brad",3,2,,-,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,+,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
OH-03,D,"Beatty, Joyce",96,95,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,,,,+,+,+,-
OH-04,R,"Jordan, Jim",0,3,,-,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
OH-05,R,"Latta, Bob",7,3,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
OH-06,R,"Johnson, Bill",7,3,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,-,-,-,-
OH-07,R,"Gibbs, Bob",7,3,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
OH-08,R,"Davidson, Warren",7,2,,-,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,+,,-,,-,,-,,,,-,-,-,+,-,-,-
OH-09,D,"Kaptur, Marcy",100,83,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
OH-10,R,"Turner, Michael",14,9,,+,-,-,-,-,,-,-,-,-,,,-,-,,?,-,-,+,-,,,-,,-,-,,-,,+,-,-,-,,-,,+,,-,,,,-,-,-,+,-,+,-
OH-11,D,"Fudge, Marcia",93,93,,+,+,+,+,+,,?,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,?,+,+,+
OH-12,R,"Balderson, Troy",3,3,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
OH-13,D,"Ryan, Tim",66,90,,+,+,+,+,+,,+,+,+,+,,,+,+,,?,?,?,?,?,,,?,,?,?,,?,,?,?,?,?,,?,,+,,+,,,,+,+,+,+,+,+,-
OH-14,R,"Joyce, David",21,10,,+,-,-,-,+,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,+,-,-,-,,-,,+,,-,,,,-,-,-,+,-,+,-
OH-15,R,"Stivers, Steve",10,7,,+,?,?,-,-,,-,-,+,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,?,-,,-,,-,,-,,,,-,-,-,+,-,-,-
OH-16,R,"Gonzalez, Anthony",21,21,,+,-,-,-,+,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,+,-,,-,,+,-,-,-,,-,,-,,-,,,,-,-,-,+,-,-,-
NH-01,D,"Pappas, Chris",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
NH-02,D,"Kuster, Ann",97,94,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
MN-01,R,"Hagedorn, Jim",7,7,,-,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,+,-,-,-
MN-02,D,"Craig, Angie",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
MN-03,D,"Phillips, Dean",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
MN-04,D,"McCollum, Betty",97,94,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
MN-05,D,"Omar, Ilhan",97,97,,+,+,+,+,+,,+,+,+,+,,,+,-,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,-,,+,,,,+,+,+,+,+,+,+
MN-06,R,"Emmer, Tom",7,2,,+,-,-,-,-,,-,-,-,-,,,-,-,,?,?,?,?,?,,,?,,?,?,,?,,?,?,?,?,,-,,-,,-,,,,-,-,-,+,?,-,-
MN-07,D,"Peterson, Collin",69,33,,+,+,+,+,+,,+,+,+,+,,,-,-,,+,-,-,-,+,,,+,,-,-,,+,,+,-,-,-,,+,,-,,-,,,,+,+,+,+,+,+,-
MN-08,R,"Stauber, Pete",7,7,,-,-,-,-,+,,-,-,-,-,,,-,-,,-,+,+,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,+,-,-,-
WI-01,R,"Steil, Bryan",21,21,,+,-,-,-,+,,-,-,-,+,,,-,-,,+,-,-,-,-,,,-,,+,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,+,-,-,-
WI-02,D,"Pocan, Mark",100,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,-,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
WI-03,D,"Kind, Ron",97,90,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,-,,+,,,,+,+,+,+,+,+,-
WI-04,D,"Moore, Gwen",97,94,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
WI-05,R,"Sensenbrenner, James",0,24,,-,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,+,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
WI-06,R,"Grothman, Glenn",10,2,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,+,-,-,-
WI-07,R,"Duffy, Sean",5,2,,-,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,,,,,,,
WI-08,R,"Gallagher, Mike",14,5,,+,-,-,-,+,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,+,,,,-,-,-,?,-,-,-
AZ-01,D,"O'Halleran, Tom",97,90,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
AZ-02,D,"Kirkpatrick, Ann",95,71,,+,+,+,+,+,,+,+,+,+,,,+,+,,,?,?,?,,,,,,,,,,,,?,?,,,+,,+,,+,,,,+,+,+,+,+,+,-
AZ-03,D,"Grijalva, Raul",97,96,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
AZ-04,R,"Gosar, Paul",3,5,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,?,-,-
AZ-05,R,"Biggs, Andy",0,6,,-,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
AZ-06,R,"Schweikert, David",14,5,,+,-,-,-,+,,-,-,-,-,,,-,-,,+,-,-,+,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,+,-,-,-
