Key:
+,"Pro-environment vote"
-,"Anti-environment vote"
?,"Missed vote"
n/a,"Not applicable"
" "
District,Party,"Member of Congress",BioID,GovtrackID,"2020 Score","Lifetime Score","Closing the PFAS Clean Water Loophole (11)","Protecting People from PFAS Pollution (13)","Great Lakes Restoration Initiative (36)","Protecting the Rights of Workers to Organize (50)","Emergency and Climate Disaster Aid for Puerto Rico (54)","Protecting Wilderness Across the West  (69)","Heroes Act COVID-19 Relief Package (109)","Washington D.C. Statehood (122)","Harming Workers by Rolling Back Wage Protections (135)","Eliminating Lead Service Lines to Protect Public Health (136)","Investing in Climate-Ambitious Infrastructure (138)","Maintaining Suspension of Nuclear Weapons Testing (142)","Protecting the Grand Canyon and Colorado’s public lands (147)","Great American Outdoors Act (155)","Removing Confederate Statues from the U.S. Capitol (156)","Blocking Trump’s Inadequate Soot Standard (163)","Slashing EPA Funding (164)","Pro-Environment Funding Package  (166)","Protecting the U.S. Postal Service (182)","Increasing Funding for Renewable Energy Research & Development (203)","Phasing Out Harmful Fishing Gear (242)"
NJ-09,D,"Pascrell, Bill",P000096,400309,100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NJ-10,D,"Payne, Donald",P000604,412506,86,91,?,?,+,+,+,?,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NJ-11,D,"Sherrill, Mikie",S001207,412799,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NJ-12,D,"Watson Coleman, Bonnie",W000822,412644,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
OH-01,R,"Chabot, Steve",C000266,400071,14,12,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+
OH-02,R,"Wenstrup, Brad",W000815,412564,5,2,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OH-03,D,"Beatty, Joyce",B001281,412565,95,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,?
OH-04,R,"Jordan, Jim",J000289,412226,5,3,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OH-05,R,"Latta, Bob",L000566,412256,10,3,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-
OH-06,R,"Johnson, Bill",J000292,412460,14,4,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-
OH-07,R,"Gibbs, Bob",G000563,412463,19,4,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,?,?,?,?,-,+
OH-08,R,"Davidson, Warren",D000626,412675,10,3,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-
OH-09,D,"Kaptur, Marcy",K000009,400211,90,84,+,+,+,+,+,+,+,+,+,+,+,?,+,+,+,?,+,+,+,+,+
OH-10,R,"Turner, Michael",T000463,400411,33,10,+,+,+,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,+,-,-
OH-11,D,"Fudge, Marcia",F000455,412327,90,93,+,+,+,+,+,+,+,+,+,+,+,+,?,+,+,+,+,+,+,+,?
OH-12,R,"Balderson, Troy",B001306,412747,24,11,-,-,+,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,+,-,-
OH-13,D,"Ryan, Tim",R000577,400352,100,91,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
OH-14,R,"Joyce, David",J000295,412566,33,12,-,-,+,-,-,-,-,-,+,-,-,-,-,+,+,-,+,-,+,-,+
OH-15,R,"Stivers, Steve",S001187,412461,33,8,-,+,+,-,-,-,-,-,+,-,-,?,-,+,+,-,+,-,+,-,-
OH-16,R,"Gonzalez, Anthony",G000588,412807,29,24,-,-,+,-,-,-,-,-,+,-,-,-,-,+,+,-,+,-,-,-,+
NH-01,D,"Pappas, Chris",P000614,412795,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NH-02,D,"Kuster, Ann",K000382,412557,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MN-01,R,"Hagedorn, Jim",H001088,412788,5,6,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MN-02,D,"Craig, Angie",C001119,412789,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MN-03,D,"Phillips, Dean",P000616,412790,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MN-04,D,"McCollum, Betty",M001143,400259,100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MN-05,D,"Omar, Ilhan",O000173,412791,95,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+
MN-06,R,"Emmer, Tom",E000294,412639,10,3,-,-,+,-,-,-,-,?,?,?,?,-,-,-,+,-,-,-,-,-,-
MN-07,D,"Peterson, Collin",P000258,400316,76,34,+,+,+,+,+,+,+,-,+,+,-,?,+,+,+,-,+,-,+,+,+
MN-08,R,"Stauber, Pete",S001212,412792,29,16,-,-,+,-,-,-,-,-,+,-,-,-,-,+,+,-,+,-,+,-,-
WI-01,R,"Steil, Bryan",S001213,412836,19,20,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-
WI-02,D,"Pocan, Mark",P000607,412585,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
WI-03,D,"Kind, Ron",K000188,400218,90,90,?,?,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
WI-04,D,"Moore, Gwen",M001160,400661,100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
WI-05,R,"Sensenbrenner, James",S000244,400365,5,24,-,-,+,-,-,-,-,?,-,-,-,-,?,?,?,-,-,-,-,-,?
WI-06,R,"Grothman, Glenn",G000576,412661,5,3,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WI-07,R,"Tiffany, Tom",T000165,456791,0,0,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,?,-
WI-08,R,"Gallagher, Mike",G000579,412731,19,8,-,+,+,-,-,-,-,?,?,?,?,-,-,+,+,-,-,-,-,-,-
AZ-01,D,"O'Halleran, Tom",O000171,412682,100,92,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
AZ-02,D,"Kirkpatrick, Ann",K000368,412286,93,73,n/a,n/a,n/a,n/a,n/a,n/a,?,+,+,+,+,+,+,+,+,+,+,+,+,+,+
AZ-03,D,"Grijalva, Raul",G000551,400162,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
AZ-04,R,"Gosar, Paul",G000565,412397,5,5,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AZ-05,R,"Biggs, Andy",B001302,412683,0,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AZ-06,R,"Schweikert, David",S001183,412399,14,6,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+
AZ-07,D,"Gallego, Ruben",G000574,412612,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
AZ-08,R,"Lesko, Debbie",L000589,412745,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AZ-09,D,"Stanton, Greg",S001211,412753,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
WY-AL,R,"Cheney, Liz",C001109,412732,5,2,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,-
GA-AL,D,"Hall, Kwanza",H001092,,100,100,,,,,,,,,,,,,,,,,,,,,+
GA-01,R,"Carter, Buddy",C001103,412622,14,4,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+
GA-02,D,"Bishop, Sanford",B000490,400030,100,55,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
GA-03,R,"Ferguson, A.",F000465,412700,10,5,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,+
GA-04,D,"Johnson, Hank",J000288,412199,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
GA-05,D,"Lewis, John",L000287,400240,100,93,n/a,n/a,+,n/a,n/a,n/a,n/a,+,+,+,+,,,,,,,,,,
GA-06,D,"McBath, Lucy",M001208,412769,95,96,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
GA-07,R,"Woodall, Rob",W000810,412416,5,4,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GA-08,R,"Scott, Austin",S001189,412417,10,3,?,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,?
GA-09,R,"Collins, Doug",C001093,412531,10,4,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,-,?
GA-10,R,"Hice, Jody",H001071,412623,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GA-11,R,"Loudermilk, Barry",L000583,412624,0,1,?,?,-,-,-,-,-,-,?,?,?,?,?,?,?,?,?,?,-,-,?
GA-12,R,"Allen, Rick",A000372,412625,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?
GA-13,D,"Scott, David",S001157,400363,100,84,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
GA-14,R,"Graves, Tom",G000560,412388,5,3,-,-,+,-,-,?,-,-,-,-,-,-,?,-,-,?,?,-,-,?,
MD-01,R,"Harris, Andy",H001052,412434,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?,-,-,-
MD-02,D,"Ruppersberger, C.A. Dutch",R000576,400349,100,89,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MD-03,D,"Sarbanes, John",S001168,412212,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MD-04,D,"Brown, Anthony",B001304,412707,95,93,+,+,+,+,+,+,+,+,+,+,+,?,+,+,+,+,+,+,+,+,+
MD-05,D,"Hoyer, Steny",H000874,400189,100,82,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MD-06,D,"Trone, David",T000483,412783,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MD-07,D,"Mfume, Kweisi",M000687,407672,100,86,,,,,,,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MD-08,D,"Raskin, Jamie",R000606,412708,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-01,R,"Gohmert, Louie",G000552,400651,5,4,?,?,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TX-02,R,"Crenshaw, Dan",C001120,412820,19,14,-,-,+,-,?,-,-,-,-,-,-,-,-,+,+,?,-,-,-,-,+
TX-03,R,"Taylor, Van",T000479,412821,14,10,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+
TX-04,R,"Ratcliffe, John",R000601,412653,14,2,-,-,+,-,-,-,?,,,,,,,,,,,,,,
TX-05,R,"Gooden, Lance",G000589,412822,0,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TX-06,R,"Wright, Ron",W000827,412823,0,4,-,-,-,-,-,?,?,-,-,-,-,-,-,-,-,-,-,-,-,n/a,?
TX-07,D,"Fletcher, Lizzie",F000468,412824,100,88,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-08,R,"Brady, Kevin",B000755,400046,5,3,?,?,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TX-09,D,"Green, Al",G000553,400653,100,87,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-10,R,"McCaul, Michael",M001157,400654,33,8,-,-,+,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,+,-,+
TX-11,R,"Conaway, K. Michael",C001062,400655,0,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TX-12,R,"Granger, Kay",G000377,400157,14,6,?,?,+,-,-,-,?,-,-,-,-,-,-,+,-,-,-,-,?,-,+
TX-13,R,"Thornberry, Mac",T000238,400404,5,2,-,-,+,-,-,-,-,-,-,?,-,-,-,-,-,-,-,-,?,-,-
TX-14,R,"Weber, Randy",W000814,412574,0,2,-,-,-,-,-,-,-,-,?,?,?,-,-,-,-,-,-,-,-,-,-
TX-15,D,"Gonzalez, Vicente",G000581,412725,95,80,+,+,+,+,+,+,?,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-16,D,"Escobar, Veronica",E000299,412825,95,96,+,+,?,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-17,R,"Flores, Bill",F000461,412480,5,3,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,-,-
TX-18,D,"Jackson Lee, Sheila",J000032,400199,100,83,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-19,R,"Arrington, Jodey",A000375,412726,0,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TX-20,D,"Castro, Joaquin",C001091,412576,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-21,R,"Roy, Chip",R000614,412826,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,-,-
TX-22,R,"Olson, Pete",O000168,412302,10,2,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,?,-,-
TX-23,R,"Hurd, Will",H001073,412654,43,13,+,+,+,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,+,-,+
TX-24,R,"Marchant, Kenny",M001158,400656,0,3,?,?,-,-,?,?,?,?,?,?,?,?,-,-,-,?,?,?,?,?,?
TX-25,R,"Williams, Roger",W000816,412578,10,2,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+
TX-26,R,"Burgess, Michael",B001248,400052,10,3,-,-,+,-,-,-,-,-,-,-,-,-,?,-,+,-,-,-,-,?,-
TX-27,R,"Cloud, Michael",C001115,412746,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TX-28,D,"Cuellar, Henry",C001063,400657,90,47,+,+,+,-,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+
TX-29,D,"Garcia, Sylvia",G000587,412827,100,94,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-30,D,"Johnson, Eddie Bernice",J000126,400204,95,87,+,+,+,+,+,+,?,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-31,R,"Carter, John",C001051,400068,10,4,?,?,+,-,-,-,?,?,+,-,?,-,-,-,-,-,-,-,-,-,?
TX-32,D,"Allred, Colin",A000376,412828,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-33,D,"Veasey, Marc",V000131,412579,100,90,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-34,D,"Vela, Filemon",V000132,412580,100,77,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-35,D,"Doggett, Lloyd",D000399,400111,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
TX-36,R,"Babin, Brian",B001291,412655,0,2,-,-,-,-,-,-,-,?,-,-,-,-,-,-,-,-,?,?,-,-,-
MT-AL,R,"Gianforte, Greg",G000584,412736,19,7,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,+
AK-AL,R,"Young, Don",Y000033,400440,33,9,-,+,+,+,+,-,-,-,+,-,-,-,-,+,-,?,-,-,+,-,?
CO-01,D,"DeGette, Diana",D000197,400101,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CO-02,D,"Neguse, Joe",N000191,412761,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CO-03,R,"Tipton, Scott",T000470,412405,10,7,-,-,+,-,-,-,-,-,?,-,-,-,-,-,+,-,-,-,-,-,-
CO-04,R,"Buck, Ken",B001297,412619,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CO-05,R,"Lamborn, Doug",L000564,412191,5,3,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CO-06,D,"Crow, Jason",C001121,412762,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CO-07,D,"Perlmutter, Ed",P000593,412192,100,87,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
ND-AL,R,"Armstrong, Kelly",A000377,412794,0,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IL-01,D,"Rush, Bobby",R000515,400350,100,81,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL-02,D,"Kelly, Robin",K000385,412595,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL-03,D,"Lipinski, Dan",L000563,400630,90,91,+,+,+,+,+,+,?,+,+,+,+,+,+,+,+,+,+,-,+,+,+
IL-04,D,"García, Jesús",G000586,412774,100,100,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL-05,D,"Quigley, Mike",Q000023,412331,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL-06,D,"Casten, Sean",C001117,412775,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL-07,D,"Davis, Danny",D000096,400093,100,93,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL-08,D,"Krishnamoorthi, Raja",K000391,412701,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL-09,D,"Schakowsky, Jan",S001145,400360,95,98,+,+,+,+,+,+,+,+,+,+,+,?,+,+,+,+,+,+,+,+,+
IL-10,D,"Schneider, Brad",S001190,412534,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL-11,D,"Foster, Bill",F000454,412257,100,94,+,+,n/a,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL-12,R,"Bost, Mike",B001295,412629,24,7,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,+,-,+
IL-13,R,"Davis, Rodney",D000619,412536,38,10,-,-,+,-,+,-,-,-,+,-,-,-,-,+,+,-,+,-,+,-,+
IL-14,D,"Underwood, Lauren",U000040,412776,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL-15,R,"Shimkus, John",S000364,400373,14,6,-,-,+,-,-,-,?,-,+,-,-,-,-,-,+,-,-,-,?,-,?
IL-16,R,"Kinzinger, Adam",K000378,412421,29,8,-,-,+,-,-,?,-,-,+,-,-,-,-,+,+,-,+,-,-,-,+
IL-17,D,"Bustos, Cheri",B001286,412537,100,90,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IL-18,R,"LaHood, Darin",L000585,412674,14,3,-,-,+,?,-,?,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+
NM-01,D,"Haaland, Debra",H001080,412800,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NM-02,D,"Torres Small, Xochitl",T000484,412801,95,96,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NM-03,D,"Lujan, Ben Ray",L000570,412293,100,97,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
UT-01,R,"Bishop, Rob",B001250,400029,10,3,-,-,+,-,+,-,-,?,-,-,-,-,-,-,-,-,-,-,-,-,?
UT-02,R,"Stewart, Chris",S001192,412581,14,4,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,?,-,+
UT-03,R,"Curtis, John",C001114,412740,5,2,-,-,+,-,-,-,-,?,-,-,-,-,-,-,-,-,-,-,-,-,-
UT-04,D,"McAdams, Ben",M001209,412829,76,82,+,-,+,-,+,+,-,+,+,+,-,+,+,+,+,+,+,-,+,+,+
OR-01,D,"Bonamici, Suzanne",B001278,412501,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
OR-02,R,"Walden, Greg",W000791,400419,19,10,-,-,+,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,?,-,-
OR-03,D,"Blumenauer, Earl",B000574,400033,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
OR-04,D,"DeFazio, Peter",D000191,400100,100,92,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
OR-05,D,"Schrader, Kurt",S001180,412315,86,73,+,+,+,-,+,+,-,+,+,+,+,+,+,+,+,+,+,-,+,+,+
CT-01,D,"Larson, John",L000557,400233,100,93,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CT-02,D,"Courtney, Joe",C001069,412193,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CT-03,D,"DeLauro, Rosa",D000216,400103,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CT-04,D,"Himes, Jim",H001047,412282,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
CT-05,D,"Hayes, Jahana",H001081,412763,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
AR-01,R,"Crawford, Rick",C001087,412400,10,5,?,?,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,+
AR-02,R,"Hill, French",H001072,412609,19,7,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+
AR-03,R,"Womack, Steve",W000809,412402,10,4,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+
AR-04,R,"Westerman, Bruce",W000821,412610,10,2,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,?
OK-01,R,"Hern, Kevin",H001082,412748,0,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OK-02,R,"Mullin, Markwayne",M001190,412568,5,1,-,-,+,-,-,?,-,?,-,-,-,?,?,?,?,?,?,?,-,?,-
OK-03,R,"Lucas, Frank",L000491,400247,10,5,-,-,+,-,-,-,?,-,-,-,-,-,-,-,+,-,-,-,-,-,?
OK-04,R,"Cole, Tom",C001053,400077,10,7,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-
OK-05,D,"Horn, Kendra",H001083,412808,90,92,+,+,+,-,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IA-01,D,"Finkenauer, Abby",F000467,412771,95,94,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IA-02,D,"Loebsack, Dave",L000565,412209,100,91,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IA-03,D,"Axne, Cynthia",A000378,412772,95,94,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IA-04,R,"King, Steve",K000362,400220,5,4,-,-,+,-,-,-,-,?,?,?,?,?,-,-,-,-,-,-,?,-,-
MA-01,D,"Neal, Richard",N000015,400291,100,93,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MA-02,D,"McGovern, Jim",M000312,400263,100,99,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MA-03,D,"Trahan, Lori",T000482,412781,95,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+
MA-04,D,"Kennedy, Joseph",K000379,412543,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MA-05,D,"Clark, Katherine",C001101,412600,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MA-06,D,"Moulton, Seth",M001196,412632,100,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MA-07,D,"Pressley, Ayanna",P000617,412782,100,98,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MA-08,D,"Lynch, Stephen",L000562,400249,100,95,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
MA-09,D,"Keating, Bill",K000375,412435,95,96,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,?
IN-01,D,"Visclosky, Peter",V000108,400417,95,83,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+
IN-02,R,"Walorski, Jackie",W000813,412538,14,4,-,-,+,-,-,-,-,?,-,-,-,-,-,+,+,-,-,-,-,-,-
IN-03,R,"Banks, Jim",B001299,412702,5,2,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IN-04,R,"Baird, James",B001307,412777,5,4,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IN-05,R,"Brooks, Susan",B001284,412539,24,8,-,-,+,-,+,-,-,?,-,-,-,-,-,+,+,-,-,-,?,-,+
IN-06,R,"Pence, Greg",P000615,412778,10,10,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,?
IN-07,D,"Carson, Andre",C001072,412258,100,93,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
IN-08,R,"Bucshon, Larry",B001275,412427,14,6,-,-,+,-,+,-,-,-,-,-,-,?,-,+,-,-,-,-,-,-,-
IN-09,R,"Hollingsworth, Trey",H001074,412703,10,15,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-
NC-01,D,"Butterfield, G.K.",B001251,400616,100,90,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NC-02,R,"Holding, George",H001065,412553,10,2,-,+,+,?,-,-,-,-,-,-,-,-,?,?,?,?,?,-,-,?,?
NC-03,R,"Murphy, Greg",M001210,412845,10,11,-,-,-,-,?,-,-,-,-,-,-,-,-,+,+,-,-,-,-,?,-
NC-04,D,"Price, David",P000523,400326,100,92,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
NC-05,R,"Foxx, Virginia",F000450,400643,10,4,-,-,-,-,?,-,-,-,-,-,-,-,-,+,+,?,?,?,-,-,-
NC-06,R,"Walker, Bradley",W000819,412670,5,1,?,?,-,-,?,?,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-
NC-07,R,"Rouzer, David",R000603,412641,14,4,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+
NC-08,R,"Hudson, Richard",H001067,412550,5,2,-,+,-,-,?,-,-,-,-,-,-,?,?,?,?,-,-,-,-,-,-
